Time (UTCG),Power (W),Solar Intensity
00:00.0,0,0
02:00.0,0,0
04:00.0,0,0
06:00.0,0,0
08:00.0,0,0
10:00.0,0,0
12:00.0,0,0
14:00.0,0,0
16:00.0,0,0
18:00.0,0,0
20:00.0,0,0
22:00.0,0,0
24:00.0,0.829,1
26:00.0,0.5,1
28:00.0,0.163,1
30:00.0,0.009,1
32:00.0,0.009,1
34:00.0,0.009,1
36:00.0,0.008,1
38:00.0,0.007,1
40:00.0,0.005,1
42:00.0,0,1
44:00.0,0,1
46:00.0,0,1
48:00.0,0,1
50:00.0,0,1
52:00.0,0,1
54:00.0,0.316,1
56:00.0,0.649,1
58:00.0,0.969,1
00:00.0,1.271,1
02:00.0,1.551,1
04:00.0,1.801,1
06:00.0,2.019,1
08:00.0,2.2,1
10:00.0,2.346,1
12:00.0,2.444,1
14:00.0,2.499,1
16:00.0,2.633,1
18:00.0,2.933,1
20:00.0,3.18,1
22:00.0,0,0
24:00.0,0,0
26:00.0,0,0
28:00.0,0,0
30:00.0,0,0
32:00.0,0,0
34:00.0,0,0
36:00.0,0,0
38:00.0,0,0
40:00.0,0,0
42:00.0,0,0
44:00.0,0,0
46:00.0,0,0
48:00.0,0,0
50:00.0,0,0
52:00.0,0,0
54:00.0,0,0
56:00.0,0,0
58:00.0,0.615,1
00:00.0,0.279,1
02:00.0,0.009,1
04:00.0,0.009,1
06:00.0,0.009,1
08:00.0,0.009,1
10:00.0,0.008,1
12:00.0,0.006,1
14:00.0,0,1
16:00.0,0,1
18:00.0,0,1
20:00.0,0,1
22:00.0,0,1
24:00.0,0,1
26:00.0,0.201,1
28:00.0,0.536,1
30:00.0,0.86,1
32:00.0,1.17,1
34:00.0,1.458,1
36:00.0,1.718,1
38:00.0,1.947,1
40:00.0,2.141,1
42:00.0,2.302,1
44:00.0,2.416,1
46:00.0,2.486,1
48:00.0,2.519,1
50:00.0,2.837,1
52:00.0,3.102,1
54:00.0,0,0
56:00.0,0,0
58:00.0,0,0
00:00.0,0,0
02:00.0,0,0
04:00.0,0,0
06:00.0,0,0
08:00.0,0,0
10:00.0,0,0
12:00.0,0,0
14:00.0,0,0
16:00.0,0,0
18:00.0,0,0
20:00.0,0,0
22:00.0,0,0
24:00.0,0,0
26:00.0,0,0
28:00.0,0,0
30:00.0,0.729,1
32:00.0,0.396,1
34:00.0,0.057,1
36:00.0,0.009,1
38:00.0,0.009,1
40:00.0,0.009,1
42:00.0,0.009,1
44:00.0,0.007,1
46:00.0,0.005,1
48:00.0,0,1
50:00.0,0,1
52:00.0,0,1
54:00.0,0,1
56:00.0,0,1
58:00.0,0.084,1
00:00.0,0.421,1
02:00.0,0.75,1
04:00.0,1.065,1
06:00.0,1.362,1
08:00.0,1.632,1
10:00.0,1.873,1
12:00.0,2.079,1
14:00.0,2.253,1
16:00.0,2.381,1
18:00.0,2.467,1
20:00.0,2.508,1
22:00.0,2.733,1
24:00.0,3.017,1
26:00.0,0,0
28:00.0,0,0
30:00.0,0,0
32:00.0,0,0
34:00.0,0,0
36:00.0,0,0
38:00.0,0,0
40:00.0,0,0
42:00.0,0,0
44:00.0,0,0
46:00.0,0,0
48:00.0,0,0
50:00.0,0,0
52:00.0,0,0
54:00.0,0,0
56:00.0,0,0
58:00.0,0,0
00:00.0,0,0
02:00.0,0.841,1
04:00.0,0.512,1
06:00.0,0.175,1
08:00.0,0.009,1
10:00.0,0.009,1
12:00.0,0.009,1
14:00.0,0.009,1
16:00.0,0.008,1
18:00.0,0.006,1
20:00.0,0,1
22:00.0,0,1
24:00.0,0,1
26:00.0,0,1
28:00.0,0,1
30:00.0,0,1
32:00.0,0.306,1
34:00.0,0.639,1
36:00.0,0.959,1
38:00.0,1.263,1
40:00.0,1.542,1
42:00.0,1.794,1
44:00.0,2.013,1
46:00.0,2.198,1
48:00.0,2.343,1
50:00.0,2.442,1
52:00.0,2.498,1
54:00.0,2.624,1
56:00.0,2.926,1
58:00.0,3.173,1
00:00.0,0,0
02:00.0,0,0
04:00.0,0,0
06:00.0,0,0
08:00.0,0,0
10:00.0,0,0
12:00.0,0,0
14:00.0,0,0
16:00.0,0,0
18:00.0,0,0
20:00.0,0,0
22:00.0,0,0
24:00.0,0,0
26:00.0,0,0
28:00.0,0,0
30:00.0,0,0
32:00.0,0,0
34:00.0,0,0
36:00.0,0.626,1
38:00.0,0.29,1
40:00.0,0.009,1
42:00.0,0.009,1
44:00.0,0.009,1
46:00.0,0.009,1
48:00.0,0.008,1
50:00.0,0.007,1
52:00.0,0.005,1
54:00.0,0,1
56:00.0,0,1
58:00.0,0,1
00:00.0,0,1
02:00.0,0,1
04:00.0,0.19,1
06:00.0,0.525,1
08:00.0,0.851,1
10:00.0,1.161,1
12:00.0,1.449,1
14:00.0,1.71,1
16:00.0,1.942,1
18:00.0,2.136,1
20:00.0,2.298,1
22:00.0,2.414,1
24:00.0,2.485,1
26:00.0,2.511,1
28:00.0,2.827,1
30:00.0,3.096,1
32:00.0,0,0
34:00.0,0,0
36:00.0,0,0
38:00.0,0,0
40:00.0,0,0
42:00.0,0,0
44:00.0,0,0
46:00.0,0,0
48:00.0,0,0
50:00.0,0,0
52:00.0,0,0
54:00.0,0,0
56:00.0,0,0
58:00.0,0,0
00:00.0,0,0
02:00.0,0,0
04:00.0,0,0
06:00.0,0,0
08:00.0,0.74,1
10:00.0,0.407,1
12:00.0,0.068,1
14:00.0,0.009,1
16:00.0,0.009,1
18:00.0,0.009,1
20:00.0,0.009,1
22:00.0,0.008,1
24:00.0,0.006,1
26:00.0,0,1
28:00.0,0,1
30:00.0,0,1
32:00.0,0,1
34:00.0,0,1
36:00.0,0.074,1
38:00.0,0.411,1
40:00.0,0.74,1
42:00.0,1.056,1
44:00.0,1.353,1
46:00.0,1.624,1
48:00.0,1.866,1
50:00.0,2.073,1
52:00.0,2.249,1
54:00.0,2.379,1
56:00.0,2.466,1
58:00.0,2.508,1
00:00.0,2.724,1
02:00.0,3.01,1
04:00.0,0,0
06:00.0,0,0
08:00.0,0,0
10:00.0,0,0
12:00.0,0,0
14:00.0,0,0
16:00.0,0,0
18:00.0,0,0
20:00.0,0,0
22:00.0,0,0
24:00.0,0,0
26:00.0,0,0
28:00.0,0,0
30:00.0,0,0
32:00.0,0,0
34:00.0,0,0
36:00.0,0,0
38:00.0,0,0
40:00.0,0.851,1
42:00.0,0.523,1
44:00.0,0.186,1
46:00.0,0.009,1
48:00.0,0.009,1
50:00.0,0.01,1
52:00.0,0.009,1
54:00.0,0.008,1
56:00.0,0.007,1
58:00.0,0.005,1
00:00.0,0,1
02:00.0,0,1
04:00.0,0,1
06:00.0,0,1
08:00.0,0,1
10:00.0,0.295,1
12:00.0,0.628,1
14:00.0,0.949,1
16:00.0,1.253,1
18:00.0,1.534,1
20:00.0,1.787,1
22:00.0,2.007,1
24:00.0,2.195,1
26:00.0,2.34,1
28:00.0,2.442,1
30:00.0,2.5,1
32:00.0,2.614,1
34:00.0,2.918,1
36:00.0,3.167,1
38:00.0,0,0
40:00.0,0,0
42:00.0,0,0
44:00.0,0,0
46:00.0,0,0
48:00.0,0,0
50:00.0,0,0
52:00.0,0,0
54:00.0,0,0
56:00.0,0,0
58:00.0,0,0
00:00.0,0,0
02:00.0,0,0
04:00.0,0,0
06:00.0,0,0
08:00.0,0,0
10:00.0,0,0
12:00.0,0,0
14:00.0,0.638,1
16:00.0,0.303,1
18:00.0,0.009,1
20:00.0,0.009,1
22:00.0,0.009,1
24:00.0,0.009,1
26:00.0,0.009,1
28:00.0,0.008,1
30:00.0,0.006,1
32:00.0,0,1
34:00.0,0,1
36:00.0,0,1
38:00.0,0,1
40:00.0,0,1
42:00.0,0.18,1
44:00.0,0.515,1
46:00.0,0.84,1
48:00.0,1.151,1
50:00.0,1.441,1
52:00.0,1.702,1
54:00.0,1.934,1
56:00.0,2.137,1
58:00.0,2.295,1
00:00.0,2.412,1
02:00.0,2.484,1
04:00.0,2.512,1
06:00.0,2.819,1
08:00.0,3.088,1
10:00.0,0,0
12:00.0,0,0
14:00.0,0,0
16:00.0,0,0
18:00.0,0,0
20:00.0,0,0
22:00.0,0,0
24:00.0,0,0
26:00.0,0,0
28:00.0,0,0
30:00.0,0,0
32:00.0,0,0
34:00.0,0,0
36:00.0,0,0
38:00.0,0,0
40:00.0,0,0
42:00.0,0,0
44:00.0,0,0
46:00.0,0.751,1
48:00.0,0.418,1
50:00.0,0.08,1
52:00.0,0.009,1
54:00.0,0.009,1
56:00.0,0.01,1
58:00.0,0.009,1
00:00.0,0.009,1
02:00.0,0.007,1
04:00.0,0.005,1
06:00.0,0,1
08:00.0,0,1
10:00.0,0,1
12:00.0,0,1
14:00.0,0.063,1
16:00.0,0.4,1
18:00.0,0.73,1
20:00.0,1.047,1
22:00.0,1.344,1
24:00.0,1.616,1
26:00.0,1.859,1
28:00.0,2.073,1
30:00.0,2.245,1
32:00.0,2.377,1
34:00.0,2.465,1
36:00.0,2.507,1
38:00.0,2.716,1
40:00.0,3.003,1
42:00.0,0.533,0.164765
44:00.0,0,0
46:00.0,0,0
48:00.0,0,0
50:00.0,0,0
52:00.0,0,0
54:00.0,0,0
56:00.0,0,0
58:00.0,0,0
00:00.0,0,0
02:00.0,0,0
04:00.0,0,0
06:00.0,0,0
08:00.0,0,0
10:00.0,0,0
12:00.0,0,0
14:00.0,0,0
16:00.0,0,0
18:00.0,0.862,1
20:00.0,0.535,1
22:00.0,0.197,1
24:00.0,0.009,1
26:00.0,0.009,1
28:00.0,0.01,1
30:00.0,0.009,1
32:00.0,0.009,1
34:00.0,0.008,1
36:00.0,0.006,1
38:00.0,0,1
40:00.0,0,1
42:00.0,0,1
44:00.0,0,1
46:00.0,0,1
48:00.0,0.285,1
50:00.0,0.618,1
52:00.0,0.939,1
54:00.0,1.244,1
56:00.0,1.526,1
58:00.0,1.779,1
00:00.0,2.005,1
02:00.0,2.192,1
04:00.0,2.336,1
06:00.0,2.44,1
08:00.0,2.498,1
10:00.0,2.605,1
12:00.0,2.91,1
14:00.0,3.161,1
16:00.0,0,0
18:00.0,0,0
20:00.0,0,0
22:00.0,0,0
24:00.0,0,0
26:00.0,0,0
28:00.0,0,0
30:00.0,0,0
32:00.0,0,0
34:00.0,0,0
36:00.0,0,0
38:00.0,0,0
40:00.0,0,0
42:00.0,0,0
44:00.0,0,0
46:00.0,0,0
48:00.0,0,0
50:00.0,0,0
52:00.0,0.649,1
54:00.0,0.314,1
56:00.0,0.01,1
58:00.0,0.009,1
00:00.0,0.009,1
02:00.0,0.01,1
04:00.0,0.009,1
06:00.0,0.008,1
08:00.0,0.007,1
10:00.0,0.005,1
12:00.0,0,1
14:00.0,0,1
16:00.0,0,1
18:00.0,0,1
20:00.0,0.169,1
22:00.0,0.505,1
24:00.0,0.83,1
26:00.0,1.142,1
28:00.0,1.431,1
30:00.0,1.696,1
32:00.0,1.934,1
34:00.0,2.132,1
36:00.0,2.292,1
38:00.0,2.41,1
40:00.0,2.484,1
42:00.0,2.513,1
44:00.0,2.81,1
46:00.0,3.082,1
48:00.0,0,0
50:00.0,0,0
52:00.0,0,0
54:00.0,0,0
56:00.0,0,0
58:00.0,0,0
00:00.0,0,0
02:00.0,0,0
04:00.0,0,0
06:00.0,0,0
08:00.0,0,0
10:00.0,0,0
12:00.0,0,0
14:00.0,0,0
16:00.0,0,0
18:00.0,0,0
20:00.0,0,0
22:00.0,0,0
24:00.0,0.762,1
26:00.0,0.43,1
28:00.0,0.091,1
30:00.0,0.01,1
32:00.0,0.009,1
34:00.0,0.01,1
36:00.0,0.01,1
38:00.0,0.009,1
40:00.0,0.008,1
42:00.0,0.006,1
44:00.0,0.005,1
46:00.0,0,1
48:00.0,0,1
50:00.0,0,1
52:00.0,0.052,1
54:00.0,0.39,1
56:00.0,0.72,1
58:00.0,1.037,1
00:00.0,1.334,1
02:00.0,1.609,1
04:00.0,1.851,1
06:00.0,2.068,1
08:00.0,2.242,1
10:00.0,2.374,1
12:00.0,2.464,1
14:00.0,2.509,1
16:00.0,2.706,1
18:00.0,2.996,1
20:00.0,2.324,0.719977
22:00.0,0,0
24:00.0,0,0
26:00.0,0,0
28:00.0,0,0
30:00.0,0,0
32:00.0,0,0
34:00.0,0,0
36:00.0,0,0
38:00.0,0,0
40:00.0,0,0
42:00.0,0,0
44:00.0,0,0
46:00.0,0,0
48:00.0,0,0
50:00.0,0,0
52:00.0,0,0
54:00.0,0,0
56:00.0,0.776,0.888076
58:00.0,0.546,1
00:00.0,0.209,1
02:00.0,0.01,1
04:00.0,0.009,1
06:00.0,0.01,1
08:00.0,0.01,1
10:00.0,0.009,1
12:00.0,0.008,1
14:00.0,0.007,1
16:00.0,0.006,1
18:00.0,0,1
20:00.0,0,1
22:00.0,0,1
24:00.0,0,1
26:00.0,0.274,1
28:00.0,0.608,1
30:00.0,0.93,1
32:00.0,1.235,1
34:00.0,1.517,1
36:00.0,1.772,1
38:00.0,1.999,1
40:00.0,2.186,1
42:00.0,2.333,1
44:00.0,2.439,1
46:00.0,2.499,1
48:00.0,2.595,1
50:00.0,2.903,1
52:00.0,3.155,1
54:00.0,0,0
56:00.0,0,0
58:00.0,0,0
00:00.0,0,0
02:00.0,0,0
04:00.0,0,0
06:00.0,0,0
08:00.0,0,0
10:00.0,0,0
12:00.0,0,0
