Time (UTCG),Power (W),Solar Intensity
00:00.0,0,0
01:00.0,0,0
02:00.0,0,0
03:00.0,0,0
04:00.0,0,0
05:00.0,0,0
06:00.0,0,0
07:00.0,0,0
08:00.0,0,0
09:00.0,0,0
10:00.0,0,0
11:00.0,0,0
12:00.0,0,0
13:00.0,0,0
14:00.0,0,0
15:00.0,0,0
16:00.0,0,0
17:00.0,0,0
18:00.0,0,0
19:00.0,0,0
20:00.0,0,0
21:00.0,0,0
22:00.0,0,0
23:00.0,0,0
24:00.0,0.829,1
25:00.0,0.667,1
26:00.0,0.5,1
27:00.0,0.332,1
28:00.0,0.163,1
29:00.0,0.008,1
30:00.0,0.009,1
31:00.0,0.009,1
32:00.0,0.009,1
33:00.0,0.009,1
34:00.0,0.009,1
35:00.0,0.009,1
36:00.0,0.008,1
37:00.0,0.008,1
38:00.0,0.007,1
39:00.0,0.005,1
40:00.0,0.005,1
41:00.0,0,1
42:00.0,0,1
43:00.0,0,1
44:00.0,0,1
45:00.0,0,1
46:00.0,0,1
47:00.0,0,1
48:00.0,0,1
49:00.0,0,1
50:00.0,0,1
51:00.0,0,1
52:00.0,0,1
53:00.0,0.148,1
54:00.0,0.316,1
55:00.0,0.484,1
56:00.0,0.649,1
57:00.0,0.811,1
58:00.0,0.969,1
59:00.0,1.122,1
00:00.0,1.271,1
01:00.0,1.415,1
02:00.0,1.551,1
03:00.0,1.681,1
04:00.0,1.801,1
05:00.0,1.914,1
06:00.0,2.019,1
07:00.0,2.113,1
08:00.0,2.2,1
09:00.0,2.28,1
10:00.0,2.346,1
11:00.0,2.4,1
12:00.0,2.444,1
13:00.0,2.477,1
14:00.0,2.499,1
15:00.0,2.51,1
16:00.0,2.633,1
17:00.0,2.791,1
18:00.0,2.933,1
19:00.0,3.063,1
20:00.0,3.18,1
21:00.0,0,0
22:00.0,0,0
23:00.0,0,0
24:00.0,0,0
25:00.0,0,0
26:00.0,0,0
27:00.0,0,0
28:00.0,0,0
29:00.0,0,0
30:00.0,0,0
31:00.0,0,0
32:00.0,0,0
33:00.0,0,0
34:00.0,0,0
35:00.0,0,0
36:00.0,0,0
37:00.0,0,0
38:00.0,0,0
39:00.0,0,0
40:00.0,0,0
41:00.0,0,0
42:00.0,0,0
43:00.0,0,0
44:00.0,0,0
45:00.0,0,0
46:00.0,0,0
47:00.0,0,0
48:00.0,0,0
49:00.0,0,0
50:00.0,0,0
51:00.0,0,0
52:00.0,0,0
53:00.0,0,0
54:00.0,0,0
55:00.0,0,0
56:00.0,0,0
57:00.0,0.78,1
58:00.0,0.615,1
59:00.0,0.448,1
00:00.0,0.279,1
01:00.0,0.11,1
02:00.0,0.009,1
03:00.0,0.009,1
04:00.0,0.009,1
05:00.0,0.009,1
06:00.0,0.009,1
07:00.0,0.009,1
08:00.0,0.009,1
09:00.0,0.009,1
10:00.0,0.008,1
11:00.0,0.007,1
12:00.0,0.006,1
13:00.0,0.005,1
14:00.0,0,1
15:00.0,0,1
16:00.0,0,1
17:00.0,0,1
18:00.0,0,1
19:00.0,0,1
20:00.0,0,1
21:00.0,0,1
22:00.0,0,1
23:00.0,0,1
24:00.0,0,1
25:00.0,0.032,1
26:00.0,0.201,1
27:00.0,0.369,1
28:00.0,0.536,1
29:00.0,0.7,1
30:00.0,0.86,1
31:00.0,1.018,1
