
"default"

"Time (UTCG)","Power (W)","Solar Intensity"
9 Mar 2024 20:00:00.000,0.000,0.000000
9 Mar 2024 20:01:00.000,0.000,0.000000
9 Mar 2024 20:02:00.000,0.000,0.000000
9 Mar 2024 20:03:00.000,0.000,0.000000
9 Mar 2024 20:04:00.000,0.000,0.000000
9 Mar 2024 20:05:00.000,0.000,0.000000
9 Mar 2024 20:06:00.000,0.000,0.000000
9 Mar 2024 20:07:00.000,0.000,0.000000
9 Mar 2024 20:08:00.000,0.000,0.000000
9 Mar 2024 20:09:00.000,0.000,0.000000
9 Mar 2024 20:10:00.000,0.000,0.000000
9 Mar 2024 20:11:00.000,0.000,0.000000
9 Mar 2024 20:12:00.000,0.000,0.000000
9 Mar 2024 20:13:00.000,0.000,0.000000
9 Mar 2024 20:14:00.000,0.000,0.000000
9 Mar 2024 20:15:00.000,0.000,0.000000
9 Mar 2024 20:16:00.000,0.000,0.000000
9 Mar 2024 20:17:00.000,0.000,0.000000
9 Mar 2024 20:18:00.000,0.000,0.000000
9 Mar 2024 20:19:00.000,5578.775,1.000000
9 Mar 2024 20:20:00.000,5578.806,1.000000
9 Mar 2024 20:21:00.000,5578.837,1.000000
9 Mar 2024 20:22:00.000,5578.869,1.000000
9 Mar 2024 20:23:00.000,5578.902,1.000000
9 Mar 2024 20:24:00.000,5578.934,1.000000
9 Mar 2024 20:25:00.000,5578.966,1.000000
9 Mar 2024 20:26:00.000,5578.999,1.000000
9 Mar 2024 20:27:00.000,5579.030,1.000000
9 Mar 2024 20:28:00.000,5579.062,1.000000
9 Mar 2024 20:29:00.000,5579.093,1.000000
9 Mar 2024 20:30:00.000,5579.123,1.000000
9 Mar 2024 20:31:00.000,5579.152,1.000000
9 Mar 2024 20:32:00.000,5579.180,1.000000
9 Mar 2024 20:33:00.000,5579.207,1.000000
9 Mar 2024 20:34:00.000,5579.233,1.000000
9 Mar 2024 20:35:00.000,5579.257,1.000000
9 Mar 2024 20:36:00.000,5579.280,1.000000
9 Mar 2024 20:37:00.000,5579.301,1.000000
9 Mar 2024 20:38:00.000,5579.320,1.000000
9 Mar 2024 20:39:00.000,5579.337,1.000000
9 Mar 2024 20:40:00.000,5579.353,1.000000
9 Mar 2024 20:41:00.000,5579.366,1.000000
9 Mar 2024 20:42:00.000,5579.377,1.000000
9 Mar 2024 20:43:00.000,5579.386,1.000000
9 Mar 2024 20:44:00.000,5579.393,1.000000
9 Mar 2024 20:45:00.000,5579.397,1.000000
9 Mar 2024 20:46:00.000,5579.399,1.000000
9 Mar 2024 20:47:00.000,5579.399,1.000000
9 Mar 2024 20:48:00.000,5579.397,1.000000
9 Mar 2024 20:49:00.000,5579.392,1.000000
9 Mar 2024 20:50:00.000,5579.385,1.000000
9 Mar 2024 20:51:00.000,5579.375,1.000000
9 Mar 2024 20:52:00.000,5579.363,1.000000
9 Mar 2024 20:53:00.000,5579.349,1.000000
9 Mar 2024 20:54:00.000,5579.333,1.000000
9 Mar 2024 20:55:00.000,5579.315,1.000000
9 Mar 2024 20:56:00.000,5579.295,1.000000
9 Mar 2024 20:57:00.000,5579.273,1.000000
9 Mar 2024 20:58:00.000,5579.249,1.000000
9 Mar 2024 20:59:00.000,5579.223,1.000000
9 Mar 2024 21:00:00.000,5579.195,1.000000
9 Mar 2024 21:01:00.000,5579.166,1.000000
9 Mar 2024 21:02:00.000,5579.136,1.000000
9 Mar 2024 21:03:00.000,5579.104,1.000000
9 Mar 2024 21:04:00.000,5579.072,1.000000
9 Mar 2024 21:05:00.000,5579.038,1.000000
9 Mar 2024 21:06:00.000,5579.003,1.000000
9 Mar 2024 21:07:00.000,5578.968,1.000000
9 Mar 2024 21:08:00.000,5578.932,1.000000
9 Mar 2024 21:09:00.000,5578.896,1.000000
9 Mar 2024 21:10:00.000,5578.860,1.000000
9 Mar 2024 21:11:00.000,5578.823,1.000000
9 Mar 2024 21:12:00.000,5578.787,1.000000
9 Mar 2024 21:13:00.000,5578.751,1.000000
9 Mar 2024 21:14:00.000,5578.715,1.000000
9 Mar 2024 21:15:00.000,5578.680,1.000000
9 Mar 2024 21:16:00.000,0.000,0.000000
9 Mar 2024 21:17:00.000,0.000,0.000000
9 Mar 2024 21:18:00.000,0.000,0.000000
9 Mar 2024 21:19:00.000,0.000,0.000000
9 Mar 2024 21:20:00.000,0.000,0.000000
9 Mar 2024 21:21:00.000,0.000,0.000000
9 Mar 2024 21:22:00.000,0.000,0.000000
9 Mar 2024 21:23:00.000,0.000,0.000000
9 Mar 2024 21:24:00.000,0.000,0.000000
9 Mar 2024 21:25:00.000,0.000,0.000000
9 Mar 2024 21:26:00.000,0.000,0.000000
9 Mar 2024 21:27:00.000,0.000,0.000000
9 Mar 2024 21:28:00.000,0.000,0.000000
9 Mar 2024 21:29:00.000,0.000,0.000000
9 Mar 2024 21:30:00.000,0.000,0.000000
9 Mar 2024 21:31:00.000,0.000,0.000000
9 Mar 2024 21:32:00.000,0.000,0.000000
9 Mar 2024 21:33:00.000,0.000,0.000000
9 Mar 2024 21:34:00.000,0.000,0.000000
9 Mar 2024 21:35:00.000,0.000,0.000000
9 Mar 2024 21:36:00.000,0.000,0.000000
9 Mar 2024 21:37:00.000,0.000,0.000000
9 Mar 2024 21:38:00.000,0.000,0.000000
9 Mar 2024 21:39:00.000,0.000,0.000000
9 Mar 2024 21:40:00.000,0.000,0.000000
9 Mar 2024 21:41:00.000,0.000,0.000000
9 Mar 2024 21:42:00.000,0.000,0.000000
9 Mar 2024 21:43:00.000,0.000,0.000000
9 Mar 2024 21:44:00.000,0.000,0.000000
9 Mar 2024 21:45:00.000,0.000,0.000000
9 Mar 2024 21:46:00.000,0.000,0.000000
9 Mar 2024 21:47:00.000,0.000,0.000000
9 Mar 2024 21:48:00.000,0.000,0.000000
9 Mar 2024 21:49:00.000,0.000,0.000000
9 Mar 2024 21:50:00.000,0.000,0.000000
9 Mar 2024 21:51:00.000,0.000,0.000000
9 Mar 2024 21:52:00.000,5578.594,1.000000
9 Mar 2024 21:53:00.000,5578.625,1.000000
9 Mar 2024 21:54:00.000,5578.657,1.000000
9 Mar 2024 21:55:00.000,5578.689,1.000000
9 Mar 2024 21:56:00.000,5578.721,1.000000
9 Mar 2024 21:57:00.000,5578.753,1.000000
9 Mar 2024 21:58:00.000,5578.786,1.000000
9 Mar 2024 21:59:00.000,5578.818,1.000000
9 Mar 2024 22:00:00.000,5578.850,1.000000
9 Mar 2024 22:01:00.000,5578.881,1.000000
9 Mar 2024 22:02:00.000,5578.912,1.000000
9 Mar 2024 22:03:00.000,5578.942,1.000000
9 Mar 2024 22:04:00.000,5578.971,1.000000
9 Mar 2024 22:05:00.000,5578.998,1.000000
9 Mar 2024 22:06:00.000,5579.025,1.000000
9 Mar 2024 22:07:00.000,5579.050,1.000000
9 Mar 2024 22:08:00.000,5579.074,1.000000
9 Mar 2024 22:09:00.000,5579.096,1.000000
